Transcription-Units	Genes of transcription unit	Regulated-By
metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp	pnp // rpsO // truB // rbfA // infB // nusA // rimP // metY	
yacH	yacH	Regulation of yacH by DNA-binding transcriptional dual regulator Rob
mokC-hokC	mokC // hokC	
narP	narP	
eco	eco	
citT	citT	
ydaSTUVW-rzpR	rzpR // ydaW // ydaV // ydaU // ydaT // ydaS	Regulation of ydaSTUVW-rzpR by Rac prophage; DNA-binding transcriptional repressor RacR // Regulation of ydaSTUVW-rzpR by Rac prophage; DNA-binding transcriptional repressor RacR // Regulation of ydaSTUVW-rzpR by Rac prophage; DNA-binding transcriptional repressor RacR // Regulation of ydaSTUVW-rzpR by Rac prophage; DNA-binding transcriptional repressor RacR
gadEF-mdtEF	gadF // mdtF // mdtE // gadE	Regulation of gadEF-mdtEF by ppGpp
rpsU-dnaG-rpoD	rpsU // dnaG // rpoD	
potFGHI	potF // potG // potH // potI	
racC	racC	
ybcK	ybcK	Regulation of ybcK by DNA-binding transcriptional dual regulator Nac
cysJIH	cysH // cysI // cysJ	
rfaDFCL	waaL // waaC // waaF // rfaD	
pgpC-tadA	pgpC // tadA	
fadE	fadE	
yghJ	yghJ	Regulation of yghJ by DNA-binding transcriptional dual regulator/c-di-GMP phosphodiesterase PdeL
sdiA	sdiA	
purHD	purD // purH	
yicN	yicN	
yihN	yihN	
gpp	gpp	
yjjP	yjjP	
ybiA	ybiA	
idnR	idnR	
csrA	csrA	
kdtA-coaD	waaA // coaD	
yjhU	yjhU	
azuC	azuC	Regulation of azuC by small regulatory RNA FnrS
alaC	alaC	
zinT	zinT	
yifK	yifK	
lipA	lipA	
yqeIJ	yqeJ // yqeI	
ygiW	ygiW	
gadW	gadW	
ybeD-lipB	lipB // ybeD	
deoABD	deoD // deoB // deoA	
glxK	glxK	
yeaD	yeaD	
minCDE	minE // minD // minC	
rpoH	rpoH	
sraA	sraA	
yffB-dapE-ypfN	ypfN // dapE // yffB	
tgt-yajC	yajC // tgt	Regulation of tgt-yajC by ppGpp
ydiNB-aroD	aroD // ydiB // ydiN	
ppiA	ppiA	
dhaR	dhaR	
lafU	lafU	
cysH	cysH	
ftsAZ	ftsZ // ftsA	
ybaN	ybaN	Regulation of ybaN by DNA-binding transcriptional repressor GlaR
nlpD-rpoS	rpoS // nlpD	
omrB	omrB	
sokB	sokB	
racR	racR	
garR	garR	
nikABCDER	nikE // nikR // nikD // nikC // nikB // nikA	
katG	katG	Regulation of katG by small regulatory RNA SdhX
yebC-ruvC	ruvC // yebC	
ydiY	ydiY	Regulation of ydiY by DNA-binding transcriptional dual regulator Nac
rpoE-rseABC	rseC // rseB // rseA // rpoE	
ccmABCDEFGH	ccmH // ccmG // ccmF // ccmE // ccmD // ccmC // ccmB // ccmA	
rihC	rihC	
mrcA	mrcA	
trkG	trkG	
nimT	nimT	
tamAB-ytfP	ytfP // tamB // tamA	
yhjB	yhjB	
gntXY	nfuA // yhgH	
yciW	yciW	
proBA	proB // proA	
menFD-yfbB-menBCE	menE // menC // menB // menH // menD // menF	
yqfA	trhA	
damX-dam-rpe-gph-trpS	trpS // gph // rpe // dam // damX	
fliAZY	tcyJ // fliZ // fliA	
map-glnD-dapD	map // glnD // dapD	Regulation of map-glnD-dapD by DNA-binding transcriptional dual regulator SoxS // Regulation of map-glnD-dapD by DNA-binding transcriptional dual regulator Rob // Regulation of map-glnD-dapD by DNA-binding transcriptional dual regulator MarA
yfeO	yfeO	
ygeLK	ygeL // ygeK	
yafV	yafV	
yidHGF	yidH // yidG // yidF	
yihQ	yihQ	
modABC	modA // modB // modC	
secMA-mutT	mutT // secA // secM	
srmB	srmB	
feoABC	feoC // feoA // feoB	
ddpXABCDF	ddpF // ddpD // ddpC // ddpB // ddpA // ddpX	
aroKB-damX-dam-rpe-gph-trpS	trpS // gph // rpe // dam // damX // aroB // aroK	
ybcW	ybcW	
ynfEFGH-dmsD	dmsD // ynfH // ynfG // ynfF // ynfE	
fimZ	fimZ	
acrD	acrD	
cueR	cueR	
recA	recA	
ycjXF-tyrR	tyrR // ycjF // ycjX	
safA-ydeO	ydeO // safA	
dam-rpe-gph-trpS	trpS // gph // rpe // dam	
yqfE	yqfE	
ybfA	ybfA	
melR	melR	
ftsQ	ftsQ	
hda	hda	
yggN	yggN	
nanS	nanS	
sdiA	sdiA	
yaiY	yaiY	Regulation of yaiY by DNA-binding transcriptional dual regulator Nac
yigGF	yigG // yigF	
djlA	djlA	
bdcA	bdcA	
pepA	pepA	
ade	adeD	
ydcH	ydcH	
ygiM	ygiM	
ybdJ	ybdJ	
yfaXWVU	yfaU // yfaV // rhmD // yfaX	
mlc	mlc	
yebB	yebB	
pdeA	pdeA	
arpB	arpB	
tyrR	tyrR	
csgC	csgC	
yidE	yidE	
ydhF	ydhF	
clpA	clpA	
sapABCDF	sapA // sapB // sapC // sapD // sapF	
rcsC	rcsC	
cysZ	cysZ	
mdtM-yjiN	mdtM // yjiN	Regulation of mdtM-yjiN by DNA-binding transcriptional dual regulator SlyA
fumA	fumA	Regulation of fumA by small regulatory RNA RyhB
hypBCDE	hypB // hypC // hypD // hypE	
yfcJ	yfcJ	
yaeR	yaeR	
pgk-fbaA	fbaA // pgk	
ymdAB-clsC	clsC // ymdB // ymdA	Regulation of ymdAB-clsC by FlhDC DNA-binding transcriptional dual regulator
ligA-ypeB	ligA // ypeB	
exuT	exuT	
stfR-tfaR	tfaR // stfR	
nfuA	nfuA	
accA	accA	
metA	metA	
flgBCDEFGHIJ	flgB // flgC // flgD // flgE // flgF // flgG // flgH // flgI // flgJ	
sdiA	sdiA	
aspS	aspS	
ydjO	ydjO	
yibN-grxC-secB-gpsA	grxC // yibN // gpsA // secB	
yegRZ	yegZ // yegR	
gltS	gltS	
sgrR-sroA-thiBPQ	sgrR // sroA // thiB // thiP // thiQ	
ygeW	ygeW	Regulation of ygeW by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
endA	endA	
mreBCD	mreD // mreC // mreB	
ampH	ampH	
crr	crr	
tesB	tesB	
yggN	yggN	
gntR	gntR	
cra	cra	
argH	argH	Regulation of argH by ppGpp
yncL	yncL	
ppdAB-ygdB-ppdC-recC	ppdA // ppdB // ygdB // ppdC // recC	
dnaN-recF	recF // dnaN	
pldA	pldA	
yihG	yihG	
fdrA-ylbEF-ybcF	ybcF // ylbF // ylbE // fdrA	
epd-pgk-fbaA	fbaA // pgk // epd	
ulaABCDEF	ulaF // ulaE // ulaD // ulaC // ulaB // ulaA	
bamA	bamA	
puuDRCBE	puuE // puuB // puuC // puuR // puuD	
rhlE	rhlE	Regulation of rhlE by DNA-binding transcriptional dual regulator CecR
nirBDC-cysG	nirB // nirD // nirC // cysG	
xapR	xapR	
yfgJ	yfgJ	
mdtL	mdtL	
yqeC	yqeC	
queC	queC	
grxC	grxC	
dhaM	dhaM	
rrsA-ileT-alaT-rrlA-rrfA	rrfA // rrlA // alaT // ileT // rrsA	
yjgR	yjgR	
uspC	uspC	Regulation of uspC by DNA-binding transcriptional dual regulator Nac // Regulation of uspC by ppGpp
murQP-yfeW	yfeW // murP // murQ	
fliLMNOPQR	fliL // fliM // fliN // fliO // fliP // fliQ // fliR	
dusB-fis	dusB // fis	
mdtEF	mdtF // mdtE	
yfcV	yfcV	
insK	insK	
xerD-dsbC-recJ	recJ // dsbC // xerD	
sfmHF	sfmF // sfmH	
pfkA	pfkA	
yjeT	yjeT	
ftsK	ftsK	
uspF	uspF	
bisC	bisC	Regulation of bisC by DNA-binding transcriptional dual regulator Nac
ydhXUT	ydhX // ydhU // ydhT	
sgrST-setA	sgrT // setA // sgrS	
phoA-psiF	phoA // psiF	
talA-tktB	tktB // talA	
dsbC	dsbC	
tpiA	tpiA	
trmA	trmA	
yrbL	yrbL	
yaeQ-arfB-nlpE	nlpE // arfB // yaeQ	
crcB	crcB	
insN-2	insO	
ynfD	ynfD	Regulation of ynfD by ppGpp
alaE	alaE	
nfrBA	nfrA // nfrB	
ompG	ompG	
lgt	lgt	
murQP	murP // murQ	
coaE-zapD-yacG	coaE // zapD // yacG	
acnA	ymiC // acnA	
yadV-htrE	htrE // yadV	
gapA-yeaD	yeaD // gapA	
gdhA	gdhA	
guaC	guaC	
ycjY	ycjY	
ydiK	ydiK	
yobF-cspC	yobF // cspC	
lapAB	lapB // lapA	
ychS	ychS	
bamD	bamD	
glgS	glgS	Regulation of glgS by ppGpp // Regulation of glgS by carbon storage regulator
kduI	kduI	Regulation of kduI by DNA-binding transcriptional dual regulator Nac
yidB	yidB	Regulation of yidB by DNA-binding transcriptional repressor GlaR
rpoD	rpoD	
cbrB	cbrB	Regulation of cbrB by DNA-binding transcriptional dual regulator Nac // Regulation of cbrB by DNA-binding transcriptional regulator CreB-phosphorylated
yfdC	yfdC	Regulation of yfdC by DNA-binding transcriptional repressor GlaR
hemF	hemF	
aas-lplT	aas // lplT	
yibD	waaH	
pldB-yigL	yigL // pldB	
hdeAB-yhiD	yhiD // hdeB // hdeA	Regulation of hdeAB-yhiD by ppGpp
sdsN	sdsN	
ygcNOP	ygcP // ygcO // ygcN	
creABCD	creA // creB // creC // creD	
intZ	intZ	
bamC	bamC	
rpmE	rpmE	Regulation of rpmE by 50S ribosomal subunit protein L31
gntT	gntT	
dcd	dcd	
slyB	slyB	
napFDAGHBC	napC // napB // napH // napG // napA // napD // napF	
ybaA	ybaA	Regulation of ybaA by ppGpp
wzbc	wza // wzc // wzb	
lacYA	lacA // lacY	
phoQ	phoQ	
ygeG	ygeG	Regulation of ygeG by DNA-binding transcriptional dual regulator Nac
thrW	thrW	
iraP	iraP	
kdsC-lptCAB	lptB // lptA // lptC // kdsC	
ansP	ansP	
yjeFE-amiB-mutL-miaA-hfq-hflXKC	hflC // hflK // hflX // hfq // miaA // mutL // amiB // tsaE // nnr	
glnALG	glnG // glnL // glnA	
rrsE-gltV-rrlE-rrfE	rrfE // rrlE // gltV // rrsE	
sraG	sraG	
dacB	dacB	
chpSB	chpB // chpS	
argF	argF	
fklB	fklB	Regulation of fklB by DNA-binding transcriptional dual regulator Nac
ygeV	ygeV	
ydbH-ynbE-ydbL	ydbL // ynbE // ydbH	
yfdRST	yfdT // yfdS // yfdR	
dnaX	dnaX	
yjdM	yjdM	
torYZ	torZ // torY	
yacL	yacL	Regulation of yacL by small regulatory RNA CyaR
tfaS	tfaS	
groL	groL	
lacZYA	lacA // lacY // lacZ	
insH4	insH4	
yicC	yicC	
bepA-yfgD	yfgD // bepA	
mdtUJI	mdtU // mdtJ // mdtI	
ychJ	ychJ	
