Transcription-Units	Genes of transcription unit	Regulated-By
hicAB	hicB // hicA	
yjhR	yjhR	
bipA	bipA	
focA-pflB	pflB // focA	
yddLKJ	yddL // yddK // yddJ	
yfhG	qseG	
yafDE	yafE // yafD	
metY-yhbC-nusA-infB	infB // nusA // rimP // metY	
aegA	aegA	Regulation of aegA by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
pcnB-folK	folK // pcnB	
btsT	btsT	
mntR-ybiR	ybiR // mntR	
gadX	gadX	Regulation of gadX by ppGpp
yafL	yafL	
gltP	gltP	Regulation of gltP by small regulatory RNA GcvB // Regulation of gltP by DNA-binding transcriptional dual regulator Nac
adhP	adhP	Regulation of adhP by ppGpp
ycaR-kdsB	kdsB // ycaR	
alsRBACE	alsE // alsC // alsA // alsB // alsR	
malS	malS	
ykfGH-yafW-ykfI	ykfI // yafW // ykfH // ykfG	
cbpA-cbpM	cbpM // cbpA	
rpsU-dnaG-rpoD	rpsU // dnaG // rpoD	
yeeX	tmaR	
entCEBA-ybdB	entC // entE // entB // entA // entH	
gltIJKL-sroC	sroC // gltL // gltK // gltJ // gltI	
metR	metR	
ecpR	matA	
ilvY	ilvY	
CsiR	glaR	
ampC	ampC	
mug	mug	
sbmC	sbmC	
selAB	selB // selA	Regulation of selAB by SelB-L-selenocysteinyl-tRNAsec
yqgB	yqgB	
pyrF-yciH	yciH // pyrF	
essD-ybcS-rzpD	rzpD // rrrD // essD	
pspF	pspF	
hokB	hokB	
yciSM-pyrF-yciH	yciH // pyrF // lapB // lapA	
ibaG-murA	murA // ibaG	
galET	galT // galE	
iap	iap	
mgtA	mgtL // mgtA	
hldE	hldE	
yaeH	yaeH	
lit	lit	
yfhH	yfhH	
yedN	yedN	
fkpA	fkpA	
ompL	ompL	
ydfI	ydfI	Regulation of ydfI by DNA-binding transcriptional repressor GlaR
fumAC	fumC // fumA	
yeeY	yeeY	
cbrA	cbrA	
lpdA	lpd	
ppk-ppx	ppx // ppk	
ypjA	ypjA	Regulation of ypjA by DNA-binding transcriptional repressor GlaR
gabDTP	gabP // gabT // gabD	Regulation of gabDTP by ppGpp
sbcB	sbcB	
eda	eda	
lysQ	lysQ	
fadR	fadR	
sroH	sroH	
ydhB	punR	
gltF	gltF	Regulation of gltF by DNA-binding transcriptional dual regulator LeuO
yraR	yraR	
menD-yfbB-menBCE	menE // menC // menB // menH // menD	
pflB	pflB	
acs-yjcHG	actP // yjcH // acs	
araFGH	araH // araG // araF	
betIBA	betA // betB // betI	
manA	manA	
rutR	rutR	
rybA-mntS	rybA // mntS	
bcsABZC	bcsC // bcsZ // bcsB // bcsA	
pssA	pssA	
yjjZ	yjjZ	
ubiD	ubiD	
ptsG	ptsG	Regulation of ptsG by small regulatory RNA SgrS
aroH	aroH	
yzcX	yzcX	
yafZ	yafZ	
dinB-yafNOP	yafP // yafO // yafN // dinB	
pyrG-eno	eno // pyrG	
bssR	bssR	
ydcJ	ydcJ	
acpP	acpP	
rluD-pgeF	rluD // yfiH	
lysC	lysC	
fliC	fliX // fliC	
fadH	fadH	
ypfH	ypfH	
ykgA	ykgA	
mltF	mltF	
cynR	cynR	
yhbX	yhbX	Regulation of yhbX by DNA-binding transcriptional dual regulator Nac
yobB-exoX	exoX // yobB	Regulation of yobB-exoX by DNA-binding transcriptional dual regulator OmpR-phosphorylated
argQ	argQ	
pqqL	pqqL	
trmC	mnmC	
yihA	yihA	
yadN	yadN	Regulation of yadN by DNA-binding transcriptional repressor GlaR
pspABCDE	pspA // pspB // pspC // pspD // pspE	
appCBA-yccB	appX // appC // appB // appA	
ygcG	ygcG	
yncD	yncD	
pheV	pheV	
ygjJK	ygjK // ygjJ	
ybhH	ybhH	Regulation of ybhH by DNA-binding transcriptional dual regulator Nac
ruvC	ruvC	
pheM	pheM	
frsA	frsA	
iscRSUA	iscA // iscU // iscS // iscR	Regulation of iscRSUA by small regulatory RNA RyhB
rrlB-rrfB	rrfB // rrlB	
ybjO-rlmC	rlmC // ybjO	
aroM	aroM	
ynaK-ydaY	ydaY // ynaK	
sfsA-dksA	dksA // sfsA	
yihR	yihR	
fur	fur	
hchA	hchA	Regulation of hchA by ppGpp
ddpXABCDF	ddpF // ddpD // ddpC // ddpB // ddpA // ddpX	
ypjC	ypjC	
perR	perR	
exuT	exuT	
recC	recC	
rraA	rraA	
fur	fur	
yjaA	yjaA	
mdoC	opgC	
putP	putP	
ygdD	ygdD	
yidQ	yidQ	
moeAB	moeB // moeA	
yfeCD	yfeD // yfeC	
yaiA-aroM	aroM // yaiA	Regulation of yaiA-aroM by ppGpp
ycgR	ycgR	
ibsD	ibsD	
rpoH	rpoH	
cobUST	cobT // cobS // cobU	
insA-7	insA7	
osmY	osmY	Regulation of osmY by ppGpp
plsC	plsC	
yigE	yigE	
pykA	pykA	
fsaA	fsaA	
iraP	iraP	
yihXY-dtd-fabY	fabY // dtd // yihY // yihX	
yicJI	yicI // yicJ	
ydbD	ydbD	
yeeJ	yeeJ	
panZ	panZ	
rpe-gph-trpS	trpS // gph // rpe	
pykF	pykF	
ydcL	ydcL	Regulation of ydcL by DNA-binding transcriptional dual regulator Rob // Regulation of ydcL by ppGpp
metT-leuW-glnUW-metU-glnVX	glnX // glnV // metU // glnW // glnU // leuW // metT	
aspC	aspC	
yfgG	yfgG	
rclR	rclR	
fdhD	fdhD	Regulation of fdhD by DNA-binding transcriptional dual regulator Nac
fixABCX	fixX // fixC // fixB // fixA	
miaB	miaB	
trxA	trxA	
rarD	rarD	
ydeN	ydeN	
tyrV-tpr	tpr // tyrV	
alx	alx	Regulation of alx by Mn2+ // Regulation of alx by H+
murR	murR	
araFGH	araH // araG // araF	
hemA-prfA-prmC	prmC // prfA // hemA	
yfiR-dgcN-yfiB	yfiB // dgcN // yfiR	
rfaDFCL	rfaD // waaF // waaC // waaL	
qseBC	qseC // qseB	
yjfP	yjfP	
yebB	yebB	
pdxH-tyrS-pdxY	pdxY // tyrS // pdxH	
phnLMNOP	phnP // phnO // phnN // phnM // phnL	
cysG	cysG	
yggG	loiP	
acrZ	acrZ	
tisB	tisB	Regulation of tisB by small regulatory RNA IstR-1
tcyJ	tcyJ	Regulation of tcyJ by small regulatory RNA GcvB
sspAB	sspB // sspA	
rlhA	rlhA	
ybhM	ybhM	Regulation of ybhM by DNA-binding transcriptional dual regulator Nac
pcnB-folK	folK // pcnB	
gcvR	gcvR	
ykfBF-yafX-ykfGH-yafW-ykfI	ykfI // yafW // ykfH // ykfG // yafX // ykfF // ykfB	
ucpA	ucpA	
rtcR	rtcR	
sdiA	sdiA	
mdaB	mdaB	Regulation of mdaB by DNA-binding transcriptional dual regulator SoxS // Regulation of mdaB by DNA-binding transcriptional dual regulator Rob // Regulation of mdaB by DNA-binding transcriptional dual regulator MarA
ebgAC	ebgA // ebgC	
tilS	tilS	
yjbD	yjbD	
patD	patD	
yhaH	yhaH	
pdeD	pdeD	
yiaF	yiaF	
pinR	pinR	Regulation of pinR by DNA-binding transcriptional dual regulator Nac
trpL	trpL	
rnt-lhr	rnt // lhr	
modABC	modC // modB // modA	
yjgM	yjgM	Regulation of yjgM by DNA-binding transcriptional dual regulator Nac
pyrLBI	pyrL // pyrI // pyrB	
pgl	pgl	
mmuPM	mmuM // mmuP	
pykA	pykA	
rhsC-ybfB	ybfB // rhsC	
sodB	sodB	Regulation of sodB by small regulatory RNA FnrS // Regulation of sodB by small regulatory RNA RyhB
grxD	grxD	Regulation of grxD by small regulatory RNA RyhB
ybbY-glxK	glxK // ybbY	
rplM-rpsI	rpsI // rplM	Regulation of rplM-rpsI by ATP-dependent RNA helicase SrmB // Regulation of rplM-rpsI by 50S ribosomal subunit protein L13
ybiX	ybiX	
gnsA	gnsA	
cpdB	cpdB	
fumC	fumC	
napFDAGHBC-ccmABCDEFGH	ccmH // ccmG // ccmF // ccmE // ccmD // ccmC // ccmB // ccmA // napC // napB // napH // napG // napA // napD // napF	
eptB	eptB	Regulation of eptB by small regulatory RNA MgrR // Regulation of eptB by small regulatory RNA ArcZ
metH	metH	
insA5B5AB5	insA5 // insB5 // insAB5	
appY	appY	
srlAEBD-gutM-srlR-gutQ	srlA // srlE // srlB // srlD // gutM // srlR // gutQ	
arcB	arcB	
lpxC	lpxC	
insH-10	insH10	
rlmN	rlmN	
yncJ	yncJ	
serU	serU	
recQ	recQ	
yneL	yneL	
leuO	leuO	
yrbG-kdsD	kdsD // yrbG	
yghG	yghG	Regulation of yghG by DNA-binding transcriptional dual regulator Nac
pgk	pgk	
yqjA-mzrA	mzrA // yqjA	
yfjD	yfjD	Regulation of yfjD by DNA-binding transcriptional repressor GlaR
topA	topA	
gudPXD	gudD // gudX // gudP	
osmC	osmC	
ybhD	ybhD	Regulation of ybhD by DNA-binding transcriptional dual regulator Nac
yidZ	yidZ	
kdgT	kdgT	Regulation of kdgT by DNA-binding transcriptional repressor GlaR
dinQ	dinQ	Regulation of dinQ by small regulatory RNA AgrB
yebO	yebO	
flhBAE	flhE // flhA // flhB	
tufA	tufA	
tehAB	tehA // tehB	
xapAB	xapB // xapA	
dcyD-tcyLN	dcyD // tcyL // tcyN	
ybeM	ybeM	
asnC-mioC-mnmG	mnmG // mioC // asnC	
argU	argU	
ypeA-yfeZ	ypeA // yfeZ	
hypBCDE-fhlA	fhlA // hypE // hypD // hypC // hypB	
ryfA	ryfA	
folA	folA	
maeB	maeB	
proK	proK	
purEK	purK // purE	
clpPX	clpX // clpP	
casDE-ygbTF	cas2 // cas1 // casE // casD	
yaeF	yaeF	Regulation of yaeF by DNA-binding transcriptional dual regulator Nac
nanY	nanY	
ygiL	ygiL	
ompN	ompN	
ivbL	ivbL	
trmJ	trmJ	
pdeL	pdeL	
ytjA	ytjA	
mutY-yggX-mltC	mltC // yggX // mutY	
yiaG	yiaG	Regulation of yiaG by ppGpp
yagEF	yagF // yagE	Regulation of yagEF by XynR-D-xylonate
hokE	hokE	
yidI	yidI	
yhjJ	yhjJ	
glmY	glmY	
cspF	cspF	
mnaT-ydcZ	mnaT // ydcZ	
hdfR	hdfR	
gss	gss	
ybgQPO	ybgQ // ybgP // ybgO	
nikABCDER	nikR // nikA // nikB // nikC // nikD // nikE	
recAX	recX // recA	
ackA-pta	pta // ackA	Regulation of ackA-pta by DNA-binding transcriptional regulator CreB-phosphorylated
gltX	gltX	
dgcJ	dgcJ	
tar-tap-cheRBYZ	cheZ // cheY // cheB // cheR // tap // tar	
ygjH	ygjH	Regulation of ygjH by DNA-binding transcriptional dual regulator Nac
ppdD-hofBC	ppdD // hofB // hofC	
insH-8	insH8	
dkgB	dkgB	
argD	argD	
yggE	yggE	
folB	folB	
glgCAP	glgP // glgA // glgC	Regulation of glgCAP by carbon storage regulator // Regulation of glgCAP by carbon storage regulator
pgrR	pgrR	
rpmBG	rpmG // rpmB	
bioP	bioP	
dacA	dacA	
ftsZ	ftsZ	
rseP	rseP	
smpB	smpB	
gloB	gloB	
yieG	adeP	
imp-surA-pdxA	pdxA // surA // lptD	
tyrP	tyrP	
cbrC	cbrC	Regulation of cbrC by DNA-binding transcriptional dual regulator Nac
sbp	sbp	
hokA	hokA	
eno	eno	
zitB	zitB	
malZ	malZ	
hemCDXY	hemY // hemX // hemD // hemC	
rsmG	rsmG	
rfbACX	rfbX // rfbC // rfbA	
serB	serB	
yebW	yebW	
yffL	yffL	
macB	macB	
ompW	ompW	Regulation of ompW by small regulatory RNA MicA // Regulation of ompW by small regulatory RNA RybB
bioBFCD	bioB // bioF // bioC // bioD	
zapA	zapA	
yebK	yebK	Regulation of yebK by DNA-binding transcriptional repressor YebK
rhaD	rhaD	
yggDC	yggC // fumE	
mutL-miaA-hfq-hflXKC	hflC // hflK // hflX // hfq // miaA // mutL	
tatD	tatD	
asnT	asnT	
clcA	clcA	
thrS-infC-rpmI-rplT-pheMST-ihfA	ihfA // pheT // pheS // pheM // rplT // rpmI // infC // thrS	
yahO	yahO	Regulation of yahO by ppGpp
yjeFE-amiB-mutL-miaA-hfq-hflXKC	hflC // hflK // hflX // hfq // miaA // mutL // amiB // tsaE // nnr	
ompF	ompF	Regulation of ompF by small regulatory RNA MicF // Regulation of ompF by small regulatory RNA RybB
ydbA	ydbA	
dmlR	dmlR	
btuE	btuE	
ansP	ansP	
insA3B3AB3	insA3 // insB3 // insAB3	
pepQ-yigZ-trkH-hemG	hemG // trkH // yigZ // pepQ	
flgMN	flgN // flgM	
ybdG	ybdG	
cvpA-purF-ubiX	ubiX // purF // cvpA	
dacC	dacC	Regulation of dacC by ppGpp
yncG	yncG	
selD-topB	topB // selD	
yfeKS	yfeS // yfeK	
yebE	yebE	
sulA	sulA	
mpaA	mpaA	Regulation of mpaA by DNA-binding transcriptional repressor PgrR
hcaT	hcaT	
rimP-nusA-infB	rimP // infB // nusA	
glrK	glrK	
serC	serC	
yadGH	yadH // yadG	
intG	intG	
rrlE-rrfE	rrfE // rrlE	
argX-hisR-leuT-proM	argX // hisR // leuT // proM	
yjiK	yjiK	
leuX	leuX	
mutM	mutM	
ynaJ	ynaJ	Regulation of ynaJ by DNA-binding transcriptional dual regulator ArcA-phosphorylated
rpoZ-spoT-trmH-recG	rpoZ // spoT // trmH // recG	
pdxI	pdxI	
yqhG	yqhG	
emtA	emtA	
nei	nei	
mdh	mdh	
ypdJ	ypdJ	
lolB-ispE-prs	prs // ispE // lolB	
yciT	yciT	
cmtBA-yggPF-fumE-yggC	cmtB // cmtA // yggP // yggF // fumE // yggC	
yhdH	yhdH	
mioC	mioC	
priA	priA	
hrpA	hrpA	
infA	infA	
hxpB	hxpB	
yajQ	yajQ	
hsdMS	hsdS // hsdM	
fumC	fumC	
yhdT-panF-prmA	yhdT // panF // prmA	
rihA	rihA	Regulation of rihA by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
entS	entS	
yecM-cutC	yecM // cutC	
ompT	ompT	Regulation of ompT by small regulatory RNA OmrB // Regulation of ompT by small regulatory RNA OmrA
gmhA	gmhA	
yffS	yffS	
ybdM	ybdM	
purA	purA	
pdxY	pdxY	
hfq-hflXKC	hflC // hflK // hflX // hfq	
phoPQ	phoQ // phoP	Regulation of phoPQ by small regulatory RNA GcvB // Regulation of phoPQ by small regulatory RNA MicA
ygiS	ygiS	
mlaFEDCB	mlaB // mlaC // mlaD // mlaE // mlaF	
sokX	sokX	
ada-alkB	alkB // ada	
yeiL	yeiL	
gadBC	gadC // gadB	Regulation of gadBC by ppGpp
ppk-ppx	ppx // ppk	
ftsZ	ftsZ	
rhlB	rhlB	
yhhS	yhhS	
gnd	gnd	Regulation of gnd by NIL
satP	satP	
norR	norR	
artJ	artJ	
yjiV	yjiV	
mgrR	mgrR	
dld	dld	Regulation of dld by DNA-binding transcriptional dual regulator Nac
yncI	yncI	
csrA	csrA	Regulation of csrA by ppGpp
chiQ	chiQ	
yqeA	yqeA	
ahpCF	ahpF // ahpC	
ydeNM	ydeM // ydeN	
yphFED	yphF // yphE // yphD	
eutSPQTDM	eutS // eutP // eutQ // eutT // eutD // eutM	Regulation of eutSPQTDM by DNA-binding transcriptional dual regulator NagC
yoaA	yoaA	
cydAB	cydA // cydB	
ubiF	ubiF	
setC	setC	
yihI	yihI	
yadC	yadC	
ynjI	ynjI	
ptsHI-crr	ptsH // ptsI // crr	
zntB	zntB	
rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ	rpsQ // rpmC // rplP // rpsC // rplV // rpsS // rplB // rplW // rplD // rplC // rpsJ	
nudK	nudK	
yeiW	yeiW	
sfmA	sfmA	
htrG-cca	cca // ygiM	
livKHMGF	livF // livG // livM // livH // livK	
yfdV	yfdV	Regulation of yfdV by DNA-binding transcriptional dual regulator Nac
yoeA	yoeA	
ybjP	ybjP	Regulation of ybjP by ppGpp
allB	allB	
gcvP	gcvP	
hemL	hemL	
ompF	ompF	Regulation of ompF by small regulatory RNA RybB // Regulation of ompF by small regulatory RNA MicF
glnS	glnS	
rrlA-rrfA	rrfA // rrlA	
yieP-hsrA	yieP // hsrA	
yihUTS	yihS // yihT // yihU	
mutY-yggX-mltC	mltC // yggX // mutY	
hybOABCDEFG	hybO // hybG // hybF // hybE // hybD // hybC // hybB // hybA	
thrL	thrL	
metE	metE	Regulation of metE by small regulatory RNA FnrS
cbl	cbl	
nanXY	nanY // nanX	
flk	flk	
lsrACDBFG-tam	tam // lsrG // lsrF // lsrB // lsrD // lsrC // lsrA	
dinJ-yafQ	dinJ // yafQ	Regulation of dinJ-yafQ by DNA-binding transcriptional activator YgfI
mrcB	mrcB	
yggM	yggM	
rpoN-hpf-ptsN-yhbJ-npr	rpoN // hpf // ptsN // rapZ // npr	
tolC-ygiBC	ygiA // ygiC // ygiB // tolC	
ydcA	ydcA	
nrdG	nrdG	
xanQ-guaD-ghxQ	ghxQ // guaD // xanQ	
ybeQ	ybeQ	Regulation of ybeQ by DNA-binding transcriptional dual regulator LeuO // Regulation of ybeQ by DNA-binding transcriptional dual regulator Nac
phoH	phoH	
osmY	osmY	Regulation of osmY by ppGpp
dgt	dgt	
mngB	mngB	
rydB	rydB	
